2021-01-06 14:48:33,888:INFO:
=======
models:myChannelUnet,
epoch:21,
batch size:2
dataset:seg
========
2021-01-06 14:49:21,292:INFO:
=======
models:myChannelUnet,
epoch:21,
batch size:2
dataset:seg
========
2021-01-06 14:49:52,561:INFO:
=======
models:myChannelUnet,
epoch:21,
batch size:2
dataset:seg
========
2021-01-10 14:02:19,528:INFO:
=======
models:myChannelUnet,
epoch:21,
batch size:2
dataset:seg
========
2021-01-10 14:02:21,180:INFO:Epoch 0/20
2021-01-10 14:02:22,179:INFO:1/200,train_loss:0.581
2021-01-10 14:02:22,341:INFO:2/200,train_loss:0.582
2021-01-10 14:02:22,496:INFO:3/200,train_loss:0.559
2021-01-10 14:02:22,655:INFO:4/200,train_loss:0.540
2021-01-10 14:02:22,813:INFO:5/200,train_loss:0.523
2021-01-10 14:02:22,971:INFO:6/200,train_loss:0.507
2021-01-10 14:02:23,132:INFO:7/200,train_loss:0.489
2021-01-10 14:02:23,291:INFO:8/200,train_loss:0.473
2021-01-10 14:02:23,448:INFO:9/200,train_loss:0.459
2021-01-10 14:02:23,610:INFO:10/200,train_loss:0.447
2021-01-10 14:02:23,767:INFO:11/200,train_loss:0.435
2021-01-10 14:02:23,928:INFO:12/200,train_loss:0.425
2021-01-10 14:02:24,090:INFO:13/200,train_loss:0.416
2021-01-10 14:02:24,248:INFO:14/200,train_loss:0.404
2021-01-10 14:02:24,409:INFO:15/200,train_loss:0.398
2021-01-10 14:02:24,564:INFO:16/200,train_loss:0.393
2021-01-10 14:02:24,719:INFO:17/200,train_loss:0.385
2021-01-10 14:02:24,875:INFO:18/200,train_loss:0.381
2021-01-10 14:02:25,031:INFO:19/200,train_loss:0.375
2021-01-10 14:02:25,186:INFO:20/200,train_loss:0.370
2021-01-10 14:02:25,344:INFO:21/200,train_loss:0.365
2021-01-10 14:02:25,503:INFO:22/200,train_loss:0.360
2021-01-10 14:02:25,659:INFO:23/200,train_loss:0.352
2021-01-10 14:02:25,815:INFO:24/200,train_loss:0.350
2021-01-10 14:02:25,972:INFO:25/200,train_loss:0.342
2021-01-10 14:02:26,133:INFO:26/200,train_loss:0.341
2021-01-10 14:02:26,290:INFO:27/200,train_loss:0.335
2021-01-10 14:02:26,447:INFO:28/200,train_loss:0.330
2021-01-10 14:02:26,605:INFO:29/200,train_loss:0.323
2021-01-10 14:02:26,762:INFO:30/200,train_loss:0.320
2021-01-10 14:02:26,918:INFO:31/200,train_loss:0.318
2021-01-10 14:02:27,074:INFO:32/200,train_loss:0.311
2021-01-10 14:02:27,230:INFO:33/200,train_loss:0.310
2021-01-10 14:02:27,385:INFO:34/200,train_loss:0.306
2021-01-10 14:02:27,541:INFO:35/200,train_loss:0.302
2021-01-10 14:02:27,697:INFO:36/200,train_loss:0.298
2021-01-10 14:02:27,853:INFO:37/200,train_loss:0.294
2021-01-10 14:02:28,009:INFO:38/200,train_loss:0.291
2021-01-10 14:02:28,164:INFO:39/200,train_loss:0.278
2021-01-10 14:02:28,323:INFO:40/200,train_loss:0.283
2021-01-10 14:02:28,478:INFO:41/200,train_loss:0.275
2021-01-10 14:02:28,632:INFO:42/200,train_loss:0.270
2021-01-10 14:02:28,787:INFO:43/200,train_loss:0.272
2021-01-10 14:02:28,943:INFO:44/200,train_loss:0.269
2021-01-10 14:02:29,100:INFO:45/200,train_loss:0.265
2021-01-10 14:02:29,256:INFO:46/200,train_loss:0.262
2021-01-10 14:02:29,412:INFO:47/200,train_loss:0.257
2021-01-10 14:02:29,567:INFO:48/200,train_loss:0.256
2021-01-10 14:02:29,725:INFO:49/200,train_loss:0.252
2021-01-10 14:02:29,885:INFO:50/200,train_loss:0.249
2021-01-10 14:02:30,042:INFO:51/200,train_loss:0.246
2021-01-10 14:02:30,200:INFO:52/200,train_loss:0.237
2021-01-10 14:02:30,357:INFO:53/200,train_loss:0.239
2021-01-10 14:02:30,513:INFO:54/200,train_loss:0.236
2021-01-10 14:02:30,668:INFO:55/200,train_loss:0.233
2021-01-10 14:02:30,826:INFO:56/200,train_loss:0.230
2021-01-10 14:02:30,983:INFO:57/200,train_loss:0.227
2021-01-10 14:02:31,139:INFO:58/200,train_loss:0.224
2021-01-10 14:02:31,295:INFO:59/200,train_loss:0.220
2021-01-10 14:02:31,451:INFO:60/200,train_loss:0.218
2021-01-10 14:02:31,605:INFO:61/200,train_loss:0.214
